求人ID,企業ID,求人名,ステータス,概要,雇用形態,雇用期間,勤務地,勤務地詳細,募集エリア,給与,仕事内容,応募要件,勤務時間,休日休暇,残業,保険,福利厚生,受動喫煙対策,言語要件,ビザ手続き,外国人スタッフ数,外国人国籍,掲載期限,募集背景,年齢要件,選考プロセス,住宅サポート,住宅サポート詳細,交通費詳細,引越サポート,引越サポート詳細,新卒・中途,ビザサポート有無,ビザ費用負担,その他,求人票URL,企業名(参照)
sewa-2026030301,E9MurLvyj5pTTPJedxv7,フロント業務,Active,,Full-time,雇用期間の定め無し（定年60歳：再雇用制度あり）,,"■ 東京都

東京エディション虎ノ門

東京エディション銀座

ラグジュアリーコレクション（東京エリア）

コートヤード・バイ・マリオット東京ステーション

ウェスティンホテル東京（恵比寿）

東京マリオットホテル（品川）

■ 神奈川県

ウェスティンホテル横浜

■ 静岡県

伊豆マリオットホテル修善寺

■ 長野県（軽井沢エリア）

軽井沢マリオットホテル

旧軽井沢KIKYOキュリオ・コレクションbyヒルトン

■ 滋賀県

琵琶湖マリオットホテル

■ 大阪府

コートヤード・バイ・マリオット新大阪ステーション

■ 沖縄県

イラフ SUI ラグジュアリーコレクションホテル沖縄宮古",東京、神奈川、静岡、長野、滋賀、大阪、沖縄,"月給 23万円 〜 33万円
※ご経験により優遇・前職条件考慮
※時間外手当、深夜勤務手当等 別途支給
※退職金・企業年金制度 有
※通勤費実費支給（月15万円まで支給）

■賞与：年2回（6月/12月）
■昇給：年1回（7月）
※入社初年度は入社時期に応じて支給","私たち「森トラスト・ホテルズ＆リゾーツ株式会社」は
“ホテルマネジメント企業”として自社ブランドホテルや
世界的な大手外資ホテルブランドなど、多彩なブランドのホテルを運営しております。

社会の動きをいち早く捉え、スピード感をもって実行していくために、
考える力、企画する力、実行する力を養うことを常に念頭において仕事に取り組む。
それが森トラスト・ホテルズ&リゾーツが求める人財です。

仕事内容
・チェックイン、チェックアウト業務
・ベルスタッフ業務
・宿泊ゲスト、VIPの対応
・客室清掃、ハウスキーピング
・新人スタッフへの教育、など
（変更の範囲）ホテルの運営に関する各種業務","必須
・JLPTN2以上
・ビジネスレベルの日本語会話
・会話レベルの英語（東京の場合、ビジネスレベル以上）

歓迎
・ホテル経験１年以上
・接客経験
・長くキャリアを目指して頑張ってくれる方",週平均40時間以内の変形労働時間制（シフト制）,"■休日数
・年間107日（変形労働時間制によるシフト勤務）

■休暇
・有給休暇(入社3カ月後に10日間付与)
・特別休暇 
・結婚休暇
・忌引休暇
・配偶者出産休暇
・生理休暇
・転任転勤休暇
・育児休業　※取得実績 女性100％、男性44％
・介護休業",,"・雇用保険、労災保険、健康保険（東京不動産業健康保険組合、各種補助・優待・付加給付あり）
・厚生年金
・団体生命保険
・GLTD（団体長期障害所得補償）","・単身赴任手当、帰省旅費支給 ※条件あり
・親睦会制度（旅行・親睦イベント補助、健康促進 等）
・制服貸与・靴代補助
・永年勤続表彰
・企業型確定拠出年金(DC)制度
・グループホテル宿泊・食事 優待利用
・健康診断（30歳～婦人科健診・35歳～人間ドック　費用会社負担）
・子育て支援（育児サポート手当、育児短時間勤務、妊娠期間含む時差出勤等の通勤緩和、看護等休暇、残業免除、職場復帰支援 等）",,"・JLPTN2以上
・ビジネスレベルの日本語会話
・会話レベルの英語",,,,2026-04-30,,35歳未満の方（例外事由3号イ／長期キャリア形成のため）,書類選考→面接１～２回（必要により適性検査試験）→内定,,,,,,,,,,,
sewa-2026030201,P4uzHd63Tmig0xeJX7ao,リゾートホテルのフロント担当,Active,"「オリオンホテルモトブ リゾート＆スパ」では、世界中から訪れるお客様に忘れられない滞在を提供するフロントスタッフを募集しています！
ホテルの顔として、お客様の快適な滞在を支え、沖縄での特別な体験を一緒に提供してください♪今なら入社祝金3万円を支給しています！",Full-time,,沖縄県,〒905‐0207沖縄県国頭郡本部町備瀬148番地1,オリオンホテル モトブ リゾート＆スパ,"月給 19万円 〜 25万円
基本給：月給 19万円 〜 25万円

固定残業代：なし

【一律手当】
全員に一律で支払われる通勤・皆勤・家族手当金額：なし
全員に一律で支払われるその他手当金額：なし

※初任給は経験・スキル・前職給与を考慮のうえ決定します。
※時間外手当は別途全額支給します。
※昇給は年1回（7月）、賞与は年2回支給。
※試用期間は3ヶ月（その間の給与・待遇は同じ）
※入社祝金（3万円）は入社3ヶ月経過後に支給。

＜給与例＞
・322万円/2年目/キャプテン（月給23万円）
・528万円/5年目/マネージャー（月給37.7万円）","・チェックイン、チェックアウト業務：お客様の到着と出発時に、スムーズで心温まる対応を行います。
・ゲスト情報入力：正確なゲスト情報の入力と管理を行い、滞在中のサービス向上に繋げます。
・予約業務：新規予約の受付やキャンセル処理など、予約に関する全般的な業務を担当します。
・接客全般：ホテルの施設案内、地元沖縄の観光案内、各種手配業務などを担当します。
・お部屋までのアテンド（チェックイン後、お客様をお部屋までご案内します）
・デリバリー業務（必要な備品やリクエストされたアイテムをお客様のお部屋まで迅速に届ける業務です）

【ここがポイント！】
・未経験歓迎！ 研修＆マニュアル完備。接客経験がなくてもOK。
・従業員寮（完全個室）を設置していますので、県外の方でもお住まいの心配はございません。
・安心のオリオングループ（オリオンビールのグループ会社）安定した基盤のもとで長く働けます。
・入社日から特別休暇あり！リフレッシュ休暇（有給）＋バースデー休暇（有給）を計8日間付与。
・従業員食堂、無料駐車場完備（ホテルスタッフ限定の充実した福利厚生）

求める人材
～このような方に向いています！～
・オリオンホテルのミッション「沖縄から、人を、場を、世界を笑顔に」に共感できる方。
・お客様に寄り添い、最高の沖縄体験を提供したいと思っている方。
・沖縄の海や自然が大好きな方。
・ゲストの安全安心を第一に考えられる方。
※経験者はもちろん、未経験者も応募可能です。先輩社員が丁寧に指導します♪

≪オンボーディング研修あり≫
オンボーディング研修は、新たに入社される皆様を心から歓迎し、円滑に職場へと導くための特別なプログラムです。この研修では、オリオンウェイをはじめ、様々な社内のルールや施設の案内を通じて、新規に入社される皆様が安心して働ける環境を整えることを目指しています。入社初日は、同期となる仲間も多数参加します。多様なキャリアを経験した仲間と共に、絆を深めることができる貴重な機会を提供します。",日本語能力試験（JLPT）N2以上かつ、フロント業務がこなせる会話能力をお持ちの方,"勤務形態：シフト制

総労働時間：1週あたり40時間

※数パータンでのシフト制（実働8時間/休憩あり）
・8時00分～17時00分
・11時00分～20時00分
・14時00分～23時00分
・17時00分～翌11時00分","≪休日≫
・実質年間休日116日（年間休日108日＋特別休暇7日+バースデー休暇1日）

≪休暇≫
・年次有給休暇
・慶弔休暇
・病気休暇
・産前産後休暇
・子の看護休暇
・介護休暇
・育児介護休業
・リフレッシュ休暇（有給）
・バースデー休暇（有給）",あり,健康保険、厚生年金保険、雇用保険、労災保険,"・車通勤可
・無料駐車場完備
・ユニフォーム貸与
・バースデー休暇（有給）
・従業員食堂
・宿泊時の特別優待
・レストラン利用時の特別優待
・従業員紹介制度
・年次有給休暇制度
・完全個室の単身寮（寮費は社内規定あり）
・従業員持株会
・財形貯蓄制度
・リフレッシュ休暇（毎年/有給7日間付与）",喫煙所：喫煙所あり（屋外）,"・日本語能力試験 N1またはN2取得
・英語会話スキル",,,,2026-05-31,,,"STEP１ 書類選考
STEP２ １次面接
STEP３ 適性検査（ウェブ）
STEP4  ２次面接
STEP３ 内定・入社",,,,,,中途,,,,https://arwrk.net/recruit/orionhotel/2353912/,
sewa-2026022701,XBPP9iwaMc4okh4axRaX,フロント/技人国/ノク大阪,Active,,Full-time,無期限,大阪府,"大阪市北区天満

JR東西線 大阪天満宮駅より 徒歩で 7分
京阪 天満橋駅より 徒歩で 9分
大阪メトロ 南森町駅より 徒歩で 9分

＼交通アクセスについて／
ＪＲ東西線大阪天満宮駅より徒歩7分
京阪本線天満橋駅より徒歩9分",,"月給 210,000円～280,000円
経験により優遇
試用期間あり
昇給有り","都心部から少し離れたエリアにある落ち着いた154室のホテルです。
フロント業務スタッフの募集です。

・チェックイン/アウト対応
・館内対応
・観光案内
・電話対応（問合せ・予約）
・メール対応（問合せ・予約）
・各種手配業務
・会計業務
・簡易な清掃作業
・夜勤あり","ゲスト応対のため英会話とコミュニケーションスキルのある方。
また、社内でのやり取りや引継ぎは日本語のため、ネイティブレベルの日本語スキルは必須です。

【優遇】
※中国語会話、韓国語会話できる方優遇します！
歓迎スキル
※接客経験
","0:00～24:00の中での8時間勤務（変形労働時間制）

※シフト制（夜勤あり）
※残業月平均10時間以内

【シフト例】
8:00 - 17:00
14:00 - 23:00
23:00 - 8:00　等","年間公休日数：110日
有休取得率が高く、働きやすい環境です。",あり（10時間以内）,雇用保険、労災保険、健康保険、厚生年金,"・有給休暇（法定通り付与）
・各種社会保険完備
・交通費支給（上限3万円/月）会社の規定による
・昇給・賞与あり（会社業績による）
・産前・産後休暇制度
・育児・介護休暇制度
・社員割引あり
・ユニフォーム貸与
・定期健康診断",,"ゲスト応対のため英会話とコミュニケーションスキルのある方。
また、社内でのやり取りや引継ぎは日本語のため、ネイティブレベルの日本語スキルは必須です。",,,,2026-05-31,,不問,書類選考→現地ホテルで面接1回,,,,,,新卒・中途,,,,https://jp.indeed.com/q-%E3%83%8E%E3%82%AF-%E6%B1%82%E4%BA%BA.html?vjk=d1bf16eb7f127c80&advn=2477271124003634,
sewa-2026022602,t544rA3EMWrJA06ECF5X,"カフェスタッフ(N1,N2レベル)",Active,カフェスタッフの募集,Full-time,,,京都市東山区八坂鳥居前東入円山町604番地,京都府,"月給 25万円 〜
※基本給・固定残業代の総額

基本給：月給 22万円 〜

固定残業代：あり
1ヶ月あたり3万円 〜 3万9000円（固定残業時間：1ヶ月あたり20時間 〜 25時間）
固定残業時間を超えた勤務時間については別途残業代を支給する

【一律手当】
全員に一律で支払われる通勤・皆勤・家族手当金額：あり
全員に一律で支払われるその他手当金額：あり

通勤手当：月額25,000円迄
住宅手当：月額20,000円（28歳迄）
賞与：年3回","明治の洋館「長楽館」（国指定重要文化財）の各部屋を、そのまま使用したカフェ・レストラン。ルネサンス風の広間を中心に、ロココ、ネオクラシック、アールヌーボーといったさまざまな建築スタイルのお部屋があり、カフェではご来店の度に異なるお席へ案内される楽しみもあり、沢山のお客様にご利用いただいております。

カフェのホール・サービススタッフです。
■ サービス業務
お客様のご案内、オーダー対応、料理・ドリンクの提供、アフタヌーンティーの説明・紅茶のご提案、テーブルセッティング、会計業務

■ ドリンク・デザート関連業務
紅茶・コーヒー・季節ドリンクなどの作成、デザートやアフタヌーンティーのワゴンサービス補助、メニュー内容の把握とお客様への説明

■ おもてなし・コミュニケーション
ゆったり寛ぎに来られるお客様への丁寧な接客、観光案内や建物の由来など、長楽館らしい“付加価値のある会話”、記念日やお祝いのお客様への細やかな対応

■ ホール運営補助
予約管理の補助、営業前後の準備、在庫確認、他部署（フロント・レストラン・パティスリー等）との連携

■ 季節イベント・特別企画でのサービス
クリスマス、ストロベリーアフタヌーンティーなどの期間限定企画、催事や館内イベントでのサポート業務",,"勤務形態：シフト制

実働時間：1日あたり8時間
平均勤務日数：1ヶ月あたり21日 〜 22日

9:00～20:00の中でシフト制","年間休日115日（年次有給休暇の計画的付与5日を含む）
シフト制
夏季休暇（連続5日間)
冬季休暇（連続5日間)
長期休暇制度(連続7日間)
当社カレンダーによる",,"【社会保険】
健康保険、厚生年金保険、雇用保険、労災保険","【福利厚生】
◆昇給あり
◆制服貸与(ベスト、サロン、黒エプロン等シックな制服)
◆無料ランチ提供（社食あり）
◆交通費規定支給 
◆駐輪場完備
◆スタッフ割引制度あり（カフェ30％、レストラン40％、ショップ20％)",,日本語能力試験 JLPT N1/N2保有者(日本語での会話が滞りなく行える),,,,2026-05-31,,,,,,,,,新卒・中途,,,,https://arwrk.net/recruit/hotelchourakukan/9070846/,
sewa-2026022601,767vL9xuBXvg4YHT5Lfz,フロント/技人国/ハイアット東京ベイ,Active,,Full-time,無期（試用期間なし）,千葉県,"[勤務先]
ハイアットリージェンシー東京ベイ
[最寄駅]
千葉県浦安市  ⁄  新浦安駅 (バス 15分) ほか
[住所]
千葉県浦安市明海5-8-23
東京ベイシティバスにて
新浦安駅からバスで15分ほど

バス停「明海南小学校」で徒歩1分",,"交通費：全額支給

【給与備考】
■昇給あり（年１回）
■賞与あり（3月/9月）

【一般社員】
月給212,530円～
※未経験OK

【チームリーダー】
月給273,730円～
※ホテルフロントを5~7年以上経験されている方目安

【アシスタントマネージャー】
月給355,330円～
※ホテルフロントを10年以上経験されている方目安


＼経験やスキルに応じて判断いたします／

★英語力を生かしたい方
★夜勤フロントのご経験されている方

上記に当てはまる方は特に大歓迎です♪","職種：案内(インフォメーション/レセプション)・フロント、サービスその他、受付

ホテルのフロントSTAFF（正社員）を募集中

新しい事にチャレンジする前向きな方
一緒に新しいホテルを作り上げませんか？

【具体的には…】
・チェックイン、チェックアウト
・ロビーサービス
・ハウスキーピングなど

最初は
・ロビーにて、お客様からのお問い合わせ対応
└ スタッフから積極的にお声がけください
・お客様のご移動をサポート
　└ 自動ドアの開閉サポート
　└ お荷物の多いお客様の移動サポート
などの簡単な業務からお任せいたします

宿泊部門はフロント以外にも、ドアマン、ベル、ハウスキーピングのポジションがあり、
柔軟に対応いただきます。
幅広くホテル運営に携われます。","【こんな方大歓迎】

・Applicants who want to utilize their language skills in English, Chinese, Korean, and more.
・Applicants who can read, write, and converse in Japanese.

■ホテル勤務の経験がある方
■将来、ホテル業界を目指したい方
■調理師免許のある方
■チームワークを大切にできる方
■丁寧なご案内ができる方
■英語や中国語、韓国語など語学を活かしてみたい方
■チャレンジ精神のある方","【シフト制】
実働８時間/休憩１時間

【勤務時間例】

【１】8:00～17:00（休憩1h）
【２】10:00～19:00（休憩1h）
【３】13:00～22:00（休憩1h）
【４】16:00～翌09:00（休憩1h）

ぜひ面接時にお気軽にご相談ください！","交代制

■月9日休み
■年間休日：108日

■産休・育休制度あり

■特別休暇
■結婚休暇
■忌引休暇
■生理休暇　など",,社会保険完備,"★従業員No.1人気★
「ハイアットグループ宿泊社割」
嬉しい詳細はぜひ面接でお聞きください♪

■社会保険完備
■交通費全額支給
■賞与あり
■昇給あり
■産休・育休制度有
■特別休暇
■結婚休暇
■忌引休暇
■生理休暇　
■屋内禁煙　など

＼2024年最新版／充実した福利厚生♪

【１】ベネフィットステーション加入
…レジャーやグルメ、ジム、映画など
　様々なサービスが特別価格でご利用可能

【２】旅サポートあり
…旅行時の宿泊代補助あり（1泊最大8,000円程度）
　海外旅行の場合は航空券補助あり（最大1万円程度）

【３】館内割引あり（ハイアットリージェンシー東京ベイのみ）
★宿泊★
→通常料金の40％OFF

★レストラン利用★
→20％OFF

【４】資格取得支援
…業務に活かせる資格取得を支援します。
（合格の場合は受験料を全額補助）

例）ホテルビジネス実務検定
　　レストランサービス技能検定
　　語学検定（TOEICなど）
　　ソムリエ
　　簿記　など

【５】紹介特典あり
…「宴会・婚礼」もしくは「スタッフ」のご紹介
→現金/館内利用券で謝礼を贈呈

【６】従業員食堂あり
…無料ドリンクサービス/冷凍自販機/オフィスグリコ設置など

【７】健康サポート
・健康診断（年1回）
・予防接種補助（インフルエンザ）
・産業医による面談（メンタルサポート）",屋内禁煙,"日本語での流暢な会話、文章の読み書きができる方
ネイティブレベルの英語力",,,,2026-05-31,,,,,,,,,,,,,,
sewa-2026022503,Too8t5MwlmAQ6Xrt0afG,フロント/特定技能宿泊/三菱地所,Active,,Full-time,試用期間：6カ月（待遇には変更なし）,"宮城県,千葉県,東京都,大阪府,京都府,沖縄県","ロイヤルパークホテル（日本橋）
ザ ロイヤルパークホテル アイコニック 東京汐留
ザ ロイヤルパークホテル 東京羽田
丸ノ内ホテル
仙台ロイヤルパークホテル
ザ ロイヤルパークホテル アイコニック 名古屋
ザ ロイヤルパークホテル アイコニック 大阪御堂筋
ザ ロイヤルパークホテル アイコニック 京都
ザ ロイヤルパークホテル 京都梅小路
ザ ロイヤルパークホテル 舞浜リゾート 東京ベイ
ザ ロイヤルパークホテル アイコニック 那覇
",,"【ホテル毎に条件異なるため一例】
月給199,900円～（一律食事手当8,800円を含む）＋ 諸手当 + 賞与

※昇給あり（昨年度実績：年１回）
※賞与あり（昨年度実績：年２回）

＜年収例＞
■チーフ（26歳）年収400万円（基本給＋諸手当＋賞与込）
■アシスタントマネジャー（29歳）年収450万円（基本給＋諸手当＋賞与込）
※深夜時間勤務手当、家族手当、通勤手当等は含んでおりません。

・通勤交通費（規定による）
・残業手当
・深夜時間勤務手当
・食事手当（規定による）
・深夜食事手当（規定による）
・家族手当（扶養家族1人目1万円／2人目、3人目7000円／配偶者5000円加算）","【フロント対応】
チェックイン、チェックアウト
宿泊予約受付
客室コントロール
WEB予約処理
荷物のお預かり
観光地や飲食店のご案内
インチャージ（時間帯責任者）業務","ホテル運営経験（接客、フロント、宿泊予約業務）
大卒、短大卒、専門学校卒

歓迎スキル・経験
ホテルシステム経験（TLリンカーン、NEHOPS等）

私たちが求める人物像
・「相手が求めているものは何か」を自ら考え行動し、誰に対しても積極的にコミュニケーションが取れる方
・知識とスキルを用いて、周囲の指導を仰いだり、周りのサポートを行いながら、広い視野で課題を特定し解決を図れる方","【ホテル毎に条件異なるため一例】
■シフト制
・1ヶ月単位の変形労働時間制
・標準的な勤務時間帯：
　日勤／8:30-17:00、13:30-22:00
　深夜勤／22:00-翌6:30（実働7.5時間／休憩60分）
　夜勤／16:30-翌9:30（実働15.0時間／休憩120分）

■残業：あり
　※月平均10-30時間程度","■休日
・年間休日数：110日
・月8日以上休み
・毎月公休希望日の相談可能

■休暇
・年次有給休暇（初年度は入社月に応じて付与）
・積立休暇（使用要件有）
・産休・育児休業
・介護休業
・特別休暇
※長期休暇取得推奨",,雇用保険、労災保険、厚生年金、健康保険,"■福利厚生
・社会保険完備
・退職金制度
・グループホテル宿泊割引制度
・三菱地所グループ従業員持株会制度
・福利厚生団体サービス加入
・確定拠出年金
・財産形成貯蓄
・団体生命保険割引制度
・定期健康診断
・ストレスチェック
・自己啓発支援制度
・自己啓発における通学のための短時間勤務制度
・資格取得支援制度
・社員表彰制度
・永年勤続表彰制度

・3年目研修
・中堅リーダー研修（目安：20代後半-30代前半）
・中堅層ビジネススキルアッププログラム（目安：20代後半-30代前半）
・ニューフェイスアワード（目安：20代前半）
・階層別研修
・役職別研修
・コンプライアンス研修
・人権研修
・オープニングスタッフ研修",屋内原則禁煙（喫煙専用室あり）,N２以上,,,,2026-05-31,,,"・書類選考→一次選考→二次選考
※場合によって適性検査を受けていただきます。",,,,,,新卒・中途,,,,,
sewa-2026022502,Too8t5MwlmAQ6Xrt0afG,フロント/技人国/三菱地所,Active,,Full-time,試用期間：6カ月（待遇には変更なし）,"北海道,東京都,愛知県,京都府,大阪府,兵庫県,広島県,福岡県","ザ ロイヤルパークホテル 銀座6丁目
ザ ロイヤルパーク キャンバス 銀座8
ザ ロイヤルパーク キャンバス 銀座コリドー
ザ ロイヤルパークホテル 京都三条
ザ ロイヤルパークホテル 京都四条
ザ ロイヤルパーク キャンバス 京都二条
ザ ロイヤルパーク キャンバス 大阪北浜
ザ ロイヤルパーク キャンバス 神戸三宮
ザ ロイヤルパークホテル 広島リバーサイド
ザ ロイヤルパークホテル 福岡
ザ ロイヤルパーク キャンバス 福岡中洲
ザ ロイヤルパーク キャンバス 札幌大通公園
ザ ロイヤルパーク キャンバス 名古屋",,"【ホテル毎に条件異なるため一例】
月給199,900円～（一律食事手当8,800円を含む）＋ 諸手当 + 賞与

※昇給あり（昨年度実績：年１回）
※賞与あり（昨年度実績：年２回）

＜年収例＞
■チーフ（26歳）年収400万円（基本給＋諸手当＋賞与込）
■アシスタントマネジャー（29歳）年収450万円（基本給＋諸手当＋賞与込）
※深夜時間勤務手当、家族手当、通勤手当等は含んでおりません。

・通勤交通費（規定による）
・残業手当
・深夜時間勤務手当
・食事手当（規定による）
・深夜食事手当（規定による）
・家族手当（扶養家族1人目1万円／2人目、3人目7000円／配偶者5000円加算）","【フロント対応】
チェックイン、チェックアウト
宿泊予約受付
客室コントロール
WEB予約処理
荷物のお預かり
観光地や飲食店のご案内
インチャージ（時間帯責任者）業務","大卒、短大卒、専門学校卒
ホテル運営経験（接客、フロント、宿泊予約業務）

歓迎スキル
ホテルシステム経験

私たちが求める人物像
・「相手が求めているものは何か」を自ら考え行動し、誰に対しても積極的にコミュニケーションが取れる方
・知識とスキルを用いて、周囲の指導を仰いだり、周りのサポートを行いながら、広い視野で課題を特定し解決を図れる方

TLリンカーン、NEHOPS等","【ホテル毎に条件異なるため一例】
■シフト制
・1ヶ月単位の変形労働時間制
・標準的な勤務時間帯：
　日勤／8:30-17:00、13:30-22:00
　深夜勤／22:00-翌6:30（実働7.5時間／休憩60分）
　夜勤／16:30-翌9:30（実働15.0時間／休憩120分）

■残業：あり
　※月平均10-30時間程度","■休日
・年間休日数：110日
・月8日以上休み
・毎月公休希望日の相談可能

■休暇
・年次有給休暇（初年度は入社月に応じて付与）
・積立休暇（使用要件有）
・産休・育児休業
・介護休業
・特別休暇
※長期休暇取得推奨",,雇用保険、労災保険、厚生年金、健康保険,"■福利厚生
・社会保険完備
・退職金制度
・グループホテル宿泊割引制度
・三菱地所グループ従業員持株会制度
・福利厚生団体サービス加入
・確定拠出年金
・財産形成貯蓄
・団体生命保険割引制度
・定期健康診断
・ストレスチェック
・自己啓発支援制度
・自己啓発における通学のための短時間勤務制度
・資格取得支援制度
・社員表彰制度
・永年勤続表彰制度

・3年目研修
・中堅リーダー研修（目安：20代後半-30代前半）
・中堅層ビジネススキルアッププログラム（目安：20代後半-30代前半）
・ニューフェイスアワード（目安：20代前半）
・階層別研修
・役職別研修
・コンプライアンス研修
・人権研修
・オープニングスタッフ研修",屋内原則禁煙（喫煙専用室あり）,N2以上,,,,2026-05-31,,,"・書類選考→一次選考→二次選考
※場合によって適性検査を受けていただきます。",,,,,,中途,,,,,
sewa-2026022501,Too8t5MwlmAQ6Xrt0afG,フロント/特定活動46号/三菱地所,Active,,Full-time,試用期間：6カ月（待遇には変更なし）,"東京都,宮城県,愛知県,千葉県,大阪府,京都府,沖縄県,兵庫県,福岡県,北海道","ロイヤルパークホテル（日本橋）
ザ ロイヤルパークホテル アイコニック 東京汐留
ザ ロイヤルパークホテル 東京羽田
丸ノ内ホテル
横浜ロイヤルパークホテル（※一時閉館中）
仙台ロイヤルパークホテル
ザ ロイヤルパークホテル アイコニック 名古屋
ザ ロイヤルパークホテル アイコニック 大阪御堂筋
ザ ロイヤルパークホテル アイコニック 京都
ザ ロイヤルパークホテル 京都梅小路
ザ ロイヤルパークホテル 舞浜リゾート 東京ベイ
ザ ロイヤルパークホテル アイコニック 那覇
ザ ロイヤルパークホテル 銀座6丁目
ザ ロイヤルパーク キャンバス 銀座8
ザ ロイヤルパーク キャンバス 銀座コリドー
ザ ロイヤルパークホテル 京都三条
ザ ロイヤルパークホテル 京都四条
ザ ロイヤルパーク キャンバス 京都二条
ザ ロイヤルパーク キャンバス 大阪北浜
ザ ロイヤルパーク キャンバス 神戸三宮
ザ ロイヤルパークホテル 広島リバーサイド
ザ ロイヤルパークホテル 福岡
ザ ロイヤルパーク キャンバス 福岡中洲
ザ ロイヤルパーク キャンバス 札幌大通公園
ザ ロイヤルパーク キャンバス 名古屋",,"【ホテル毎に条件異なるため一例】
月給199,900円～（一律食事手当8,800円を含む）＋ 諸手当 + 賞与

※昇給あり（昨年度実績：年１回）
※賞与あり（昨年度実績：年２回）

＜年収例＞
■チーフ（26歳）年収400万円（基本給＋諸手当＋賞与込）
■アシスタントマネジャー（29歳）年収450万円（基本給＋諸手当＋賞与込）
※深夜時間勤務手当、家族手当、通勤手当等は含んでおりません。

・通勤交通費（規定による）
・残業手当
・深夜時間勤務手当
・食事手当（規定による）
・深夜食事手当（規定による）
・家族手当（扶養家族1人目1万円／2人目、3人目7000円／配偶者5000円加算）","【フロント対応】
チェックイン、チェックアウト
宿泊予約受付
客室コントロール
WEB予約処理
荷物のお預かり
観光地や飲食店のご案内
インチャージ（時間帯責任者）業務","ホテル運営経験（接客、フロント、宿泊予約業務）
大卒、短大卒、専門学校卒

歓迎スキル
ホテルシステム経験（TLリンカーン、NEHOPS等）

求める人物像
「相手が求めているものは何か」を自ら考え行動し、誰に対しても積極的にコミュニケーションが取れる方
知識とスキルを用いて、周囲の指導を仰いだり、周りのサポートを行いながら、広い視野で課題を特定し解決を図れる方","【ホテル毎に条件異なるため一例】
■シフト制
・1ヶ月単位の変形労働時間制
・標準的な勤務時間帯：
　日勤／8:30-17:00、13:30-22:00
　深夜勤／22:00-翌6:30（実働7.5時間／休憩60分）
　夜勤／16:30-翌9:30（実働15.0時間／休憩120分）

■残業：あり
　※月平均10-30時間程度","■休日
・年間休日数：110日
・月8日以上休み
・毎月公休希望日の相談可能

■休暇
・年次有給休暇（初年度は入社月に応じて付与）
・積立休暇（使用要件有）
・産休・育児休業
・介護休業
・特別休暇
※長期休暇取得推奨",あり,雇用保険、労災保険、厚生年金、健康保険,"・社会保険完備
・退職金制度
・グループホテル宿泊割引制度
・三菱地所グループ従業員持株会制度
・福利厚生団体サービス加入
・確定拠出年金
・財産形成貯蓄
・団体生命保険割引制度
・定期健康診断
・ストレスチェック
・自己啓発支援制度
・自己啓発における通学のための短時間勤務制度
・資格取得支援制度
・社員表彰制度
・永年勤続表彰制度

・3年目研修
・中堅リーダー研修（目安：20代後半-30代前半）
・中堅層ビジネススキルアッププログラム（目安：20代後半-30代前半）
・ニューフェイスアワード（目安：20代前半）
・階層別研修
・役職別研修
・コンプライアンス研修
・人権研修
・オープニングスタッフ研修",屋内原則禁煙（喫煙専用室あり）,・N2以上,,,,2026-05-31,,,"・書類選考→一次選考→二次選考
※場合によって適性検査を受けていただきます。",,,,,,新卒・中途,,,,,
sewa-2026022403,BIPUFz8ZojMsAjKA989n,フロント業務(日本語と英語で対応可能な方),Active,,Full-time,,京都府,京都府京都市東山区妙法院前側町431,,,,,,,,,,,,,,,2026-05-31,,,,,,,,,中途,,,,,
